FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE,LATE,ON_TIME
1/1/2022,AA,1,JFK,"New York, NY",NY,22,LAX,"Los Angeles, CA",CA,91,700,657.0,1029,1012.0,0.0,0.0,2475.0,False,True
1/1/2022,AA,10,LAX,"Los Angeles, CA",CA,91,JFK,"New York, NY",NY,22,900,857.0,1724,1703.0,0.0,0.0,2475.0,False,True
1/1/2022,AA,1004,ORD,"Chicago, IL",IL,41,FLL,"Fort Lauderdale, FL",FL,33,1830,937.0,2239,1349.0,0.0,0.0,1182.0,False,True
1/1/2022,AA,1007,CLT,"Charlotte, NC",NC,36,STL,"St. Louis, MO",MO,64,2240,2300.0,2345,4.0,0.0,0.0,575.0,False,True
1/1/2022,AA,1008,ATL,"Atlanta, GA",GA,34,DFW,"Dallas/Fort Worth, TX",TX,74,1629,1624.0,1808,1801.0,0.0,0.0,731.0,False,True
1/1/2022,AA,1008,DFW,"Dallas/Fort Worth, TX",TX,74,ATL,"Atlanta, GA",GA,34,1230,1225.0,1539,1522.0,0.0,0.0,731.0,False,True
1/1/2022,AA,1009,CLT,"Charlotte, NC",NC,36,CVG,"Cincinnati, OH",KY,52,2231,2224.0,2359,2340.0,0.0,0.0,335.0,False,True
1/1/2022,AA,1012,STT,"Charlotte Amalie, VI",VI,4,PHL,"Philadelphia, PA",PA,23,1537,1534.0,1855,2006.0,0.0,0.0,1605.0,True,False
1/1/2022,AA,1014,PHL,"Philadelphia, PA",PA,23,MCO,"Orlando, FL",FL,33,1810,1801.0,2047,2038.0,0.0,0.0,861.0,False,True
1/1/2022,AA,1015,AUS,"Austin, TX",TX,74,LAS,"Las Vegas, NV",NV,85,2118,2207.0,2224,2302.0,0.0,0.0,1090.0,True,False
1/1/2022,AA,1018,LAS,"Las Vegas, NV",NV,85,AUS,"Austin, TX",TX,74,700,651.0,1143,1118.0,0.0,0.0,1090.0,False,True
1/1/2022,AA,1019,SJC,"San Jose, CA",CA,91,DFW,"Dallas/Fort Worth, TX",TX,74,610,605.0,1148,1131.0,0.0,0.0,1438.0,False,True
1/1/2022,AA,102,HNL,"Honolulu, HI",HI,2,DFW,"Dallas/Fort Worth, TX",TX,74,2120,2126.0,843,833.0,0.0,0.0,3784.0,False,True
1/1/2022,AA,1020,DTW,"Detroit, MI",MI,43,MIA,"Miami, FL",FL,33,606,606.0,930,922.0,0.0,0.0,1145.0,False,True
1/1/2022,AA,1022,LGA,"New York, NY",NY,22,IAH,"Houston, TX",TX,74,1915,1908.0,2226,2217.0,0.0,0.0,1416.0,False,True
1/1/2022,AA,1023,MIA,"Miami, FL",FL,33,DTW,"Detroit, MI",MI,43,2114,2125.0,29,13.0,0.0,0.0,1145.0,False,True
1/1/2022,AA,1025,TUS,"Tucson, AZ",AZ,81,DFW,"Dallas/Fort Worth, TX",TX,74,730,726.0,1043,1045.0,0.0,0.0,813.0,True,False
1/1/2022,AA,1029,PHL,"Philadelphia, PA",PA,23,DFW,"Dallas/Fort Worth, TX",TX,74,1840,1912.0,2132,2217.0,0.0,0.0,1303.0,True,False
1/1/2022,AA,1032,JFK,"New York, NY",NY,22,MIA,"Miami, FL",FL,33,900,856.0,1213,1152.0,0.0,0.0,1089.0,False,True
1/1/2022,AA,1033,CLT,"Charlotte, NC",NC,36,IND,"Indianapolis, IN",IN,42,2257,2326.0,46,59.0,0.0,0.0,427.0,True,False
1/1/2022,AA,1040,MCO,"Orlando, FL",FL,33,CLT,"Charlotte, NC",NC,36,1548,1540.0,1730,1727.0,0.0,0.0,468.0,False,True
1/1/2022,AA,1041,PHL,"Philadelphia, PA",PA,23,LAX,"Los Angeles, CA",CA,91,2000,2011.0,2302,2255.0,0.0,0.0,2402.0,False,True
1/1/2022,AA,1042,IND,"Indianapolis, IN",IN,42,CLT,"Charlotte, NC",NC,36,800,801.0,954,938.0,0.0,0.0,427.0,False,True
1/1/2022,AA,1043,CLT,"Charlotte, NC",NC,36,CLE,"Cleveland, OH",OH,44,2049,2058.0,2232,2221.0,0.0,0.0,430.0,False,True
1/1/2022,AA,1045,MIA,"Miami, FL",FL,33,ATL,"Atlanta, GA",GA,34,1903,1929.0,2102,2112.0,0.0,0.0,594.0,True,False
1/1/2022,AA,1046,BOS,"Boston, MA",MA,13,AUS,"Austin, TX",TX,74,1300,1319.0,1658,1727.0,0.0,0.0,1698.0,True,False
1/1/2022,AA,1048,DFW,"Dallas/Fort Worth, TX",TX,74,PNS,"Pensacola, FL",FL,33,1435,1449.0,1617,1626.0,0.0,0.0,604.0,True,False
1/1/2022,AA,1049,ATL,"Atlanta, GA",GA,34,MIA,"Miami, FL",FL,33,919,914.0,1120,1108.0,0.0,0.0,594.0,False,True
1/1/2022,AA,1050,MIA,"Miami, FL",FL,33,IAH,"Houston, TX",TX,74,2210,2204.0,4,2339.0,0.0,0.0,964.0,True,False
1/1/2022,AA,1051,ATL,"Atlanta, GA",GA,34,DFW,"Dallas/Fort Worth, TX",TX,74,1921,1915.0,2059,2110.0,0.0,0.0,731.0,True,False
1/1/2022,AA,1051,DFW,"Dallas/Fort Worth, TX",TX,74,ATL,"Atlanta, GA",GA,34,1517,1508.0,1822,1821.0,0.0,0.0,731.0,False,True
1/1/2022,AA,1054,MIA,"Miami, FL",FL,33,BOS,"Boston, MA",MA,13,2100,2104.0,11,9.0,0.0,0.0,1258.0,False,True
